doc_id,module,title,source_url,raw_file,status,notes
DOC001,quick_start,快速入门,https://maxkb.cn/docs/v2/quick_start/,data\raw\quick_start\quick_start.md,downloaded,
DOC002,model,模型概述,https://maxkb.cn/docs/v2/user_manual/model/model_summary/,data\raw\model\model_summary.md,downloaded,
DOC003,model,模型操作,https://maxkb.cn/docs/v2/user_manual/model/model_param/,data\raw\model\model_param.md,downloaded,
DOC004,knowledge_base,知识库概述,https://maxkb.cn/docs/v2/user_manual/dataset/dataset/,data\raw\knowledge_base\dataset.md,downloaded,
DOC005,knowledge_base,文档管理,https://maxkb.cn/docs/v2/user_manual/dataset/doclist/,data\raw\knowledge_base\doclist.md,downloaded,
DOC006,knowledge_base,问题管理,https://maxkb.cn/docs/v2/user_manual/dataset/problem/,data\raw\knowledge_base\problem.md,downloaded,
DOC007,knowledge_base,工作流知识库,https://maxkb.cn/docs/v2/user_manual/dataset/workflow/,data\raw\knowledge_base\dataset_workflow.md,downloaded,
DOC008,agent,智能体概述,https://maxkb.cn/docs/v2/user_manual/app/app/,data\raw\agent\agent_overview.md,downloaded,
DOC009,agent,简易智能体,https://maxkb.cn/docs/v2/user_manual/app/simple_app/,data\raw\agent\simple_agent.md,downloaded,
DOC010,agent,高级智能体,https://maxkb.cn/docs/v2/user_manual/app/workflow_app/,data\raw\agent\workflow_agent.md,downloaded,
DOC011,agent,智能体概览与API,https://maxkb.cn/docs/v2/user_manual/app/app-view/,data\raw\agent\agent_view.md,downloaded,
DOC012,agent,对话日志,https://maxkb.cn/docs/v2/user_manual/app/log/,data\raw\agent\conversation_log.md,downloaded,
DOC013,faq,安装部署常见问题,https://maxkb.cn/docs/v2/faq/install_configuration/,data\raw\faq\install_faq.md,downloaded,
DOC014,faq,知识库常见问题,https://maxkb.cn/docs/v2/faq/knowledge_base/,data\raw\faq\knowledge_base_faq.md,downloaded,
DOC015,faq,知识库文档如何合理分段,https://maxkb.cn/docs/v2/faq/doc_segment/,data\raw\faq\document_segmentation.md,downloaded,
